,0,1
119,CFHTLS-VAR-J141943.48+522812.2,8230
120,CFHTLS-VAR-J141658.46+523035.6,8369
121,CFHTLS-VAR-J221543.73-173351.2,8379
122,CFHTLS-VAR-J221338.45-174326.5,8382
123,CFHTLS-VAR-J221430.97-172657.8,8393
124,CFHTLS-VAR-J221525.58-175131.6,8444
125,CFHTLS-VAR-J141739.79+530528.6,8499
126,CFHTLS-VAR-J141823.78+524203.9,8648
127,CFHTLS-VAR-J022505.63-044530.4,8674
128,CFHTLS-VAR-J141734.34+531018.5,8901
129,CFHTLS-VAR-J221625.74-172127.6,9008
130,CFHTLS-VAR-J142205.83+525638.8,9075
131,CFHTLS-VAR-J221423.84-174130.7,9093
132,CFHTLS-VAR-J221443.91-172333.9,9101
133,CFHTLS-VAR-J141848.00+525945.7,9180
134,CFHTLS-VAR-J221412.43-180505.8,9226
135,CFHTLS-VAR-J095843.77+015542.4,9267
136,CFHTLS-VAR-J221708.20-171358.4,9301
137,CFHTLS-VAR-J095907.65+023256.6,9371
138,CFHTLS-VAR-J100200.76+023128.8,9383
139,CFHTLS-VAR-J100219.49+015537.1,9412
140,CFHTLS-VAR-J141849.97+522711.3,9473
141,CFHTLS-VAR-J221727.03-175019.6,9485
142,CFHTLS-VAR-J221449.27-175909.8,9648
143,CFHTLS-VAR-J142117.03+530706.2,9707
144,CFHTLS-VAR-J141639.68+524828.1,9728
145,CFHTLS-VAR-J142101.84+523943.4,9752
146,CFHTLS-VAR-J221528.86-172537.1,9790
147,CFHTLS-VAR-J141721.83+530454.4,9796
148,CFHTLS-VAR-J141626.62+522557.6,9840
149,CFHTLS-VAR-J142021.63+521456.2,9875
150,CFHTLS-VAR-J221519.16-173310.4,10031
151,CFHTLS-VAR-J022738.64-042735.0,10072
152,CFHTLS-VAR-J022408.11-043018.7,10082
153,CFHTLS-VAR-J141659.56+530902.3,10092
154,CFHTLS-VAR-J141948.03+521346.6,10147
155,CFHTLS-VAR-J221714.33-174632.8,10319
156,CFHTLS-VAR-J095920.34+022701.9,10326
157,CFHTLS-VAR-J022427.66-040849.8,10353
158,CFHTLS-VAR-J221706.90-181043.6,10385
159,CFHTLS-VAR-J100111.91+014320.7,10521
160,CFHTLS-VAR-J141628.66+530203.4,10592
161,CFHTLS-VAR-J221657.45-172240.1,10660
162,CFHTLS-VAR-J221636.98-181019.7,10728
163,CFHTLS-VAR-J221435.76-175836.2,10753
164,CFHTLS-VAR-J022645.61-040455.1,10948
165,CFHTLS-VAR-J221400.96-172900.9,11080
166,CFHTLS-VAR-J221338.03-175210.0,11094
167,CFHTLS-VAR-J221729.55-174839.4,11316
168,CFHTLS-VAR-J022540.45-045150.9,11318
169,CFHTLS-VAR-J142210.61+523722.0,11364
170,CFHTLS-VAR-J100115.33+022955.3,11387
171,CFHTLS-VAR-J100033.87+023445.5,11409
172,CFHTLS-VAR-J141818.62+523041.3,11555
173,CFHTLS-VAR-J141755.79+523746.6,11800
174,CFHTLS-VAR-J221725.73-174517.0,11827
175,CFHTLS-VAR-J141914.71+522536.4,11834
176,CFHTLS-VAR-J142152.65+525654.8,11867
177,CFHTLS-VAR-J221344.54-175223.5,12061
178,CFHTLS-VAR-J100034.88+022833.8,12164
179,CFHTLS-VAR-J141622.47+523355.8,12175
180,CFHTLS-VAR-J022554.78-045046.7,12422
181,CFHTLS-VAR-J221640.34-172323.3,12581
182,CFHTLS-VAR-J100142.79+023026.2,12672
183,CFHTLS-VAR-J221500.98-172615.0,12724
184,CFHTLS-VAR-J142009.66+530139.5,12736
185,CFHTLS-VAR-J221650.89-180144.2,12747
186,CFHTLS-VAR-J141852.44+530859.6,12800
187,CFHTLS-VAR-J142056.03+522313.8,12839
188,CFHTLS-VAR-J221439.23-180413.0,12855
189,CFHTLS-VAR-J022723.80-045141.0,12908
190,CFHTLS-VAR-J221654.46-175757.9,13016
191,CFHTLS-VAR-J022712.74-040749.0,13045
192,CFHTLS-VAR-J141909.36+522358.6,13109
193,CFHTLS-VAR-J022659.32-040551.7,13153
194,CFHTLS-VAR-J100222.57+022442.7,13278
195,CFHTLS-VAR-J022459.92-043956.1,13352
196,CFHTLS-VAR-J221344.70-172117.5,13369
197,CFHTLS-VAR-J100221.51+015654.9,13410
198,CFHTLS-VAR-J141903.53+521324.9,13426
199,CFHTLS-VAR-J022651.34-043056.0,13583
200,CFHTLS-VAR-J221406.11-172224.0,13664
201,CFHTLS-VAR-J142053.54+521656.3,13717
202,CFHTLS-VAR-J221708.26-180305.6,13728
203,CFHTLS-VAR-J221418.50-172952.3,13874
204,CFHTLS-VAR-J221636.60-175355.0,14076
205,CFHTLS-VAR-J095842.96+021943.3,14116
206,CFHTLS-VAR-J221416.52-174055.5,14146
207,CFHTLS-VAR-J095851.62+023057.5,14257
208,CFHTLS-VAR-J221355.01-172411.2,14284
209,CFHTLS-VAR-J221650.42-180137.4,14302
210,CFHTLS-VAR-J141754.40+521756.6,14308
211,CFHTLS-VAR-J100154.89+015916.6,14385
212,CFHTLS-VAR-J100050.59+021509.8,14412
213,CFHTLS-VAR-J141709.39+530005.4,14452
214,CFHTLS-VAR-J022631.29-040757.3,14536
215,CFHTLS-VAR-J141845.21+524344.2,14575
216,CFHTLS-VAR-J142207.32+530330.1,14576
217,CFHTLS-VAR-J142110.84+530537.0,14657
218,CFHTLS-VAR-J142228.45+525753.1,14715
219,CFHTLS-VAR-J022531.80-040947.5,14750
220,CFHTLS-VAR-J141730.73+530322.0,14758
221,CFHTLS-VAR-J100030.73+020618.2,14760
222,CFHTLS-VAR-J221347.34-171718.5,14864
223,CFHTLS-VAR-J141833.02+524142.4,14917
224,CFHTLS-VAR-J221500.11-171559.2,14931
225,CFHTLS-VAR-J221346.05-175019.6,15102
226,CFHTLS-VAR-J022524.13-043648.4,15141
227,CFHTLS-VAR-J142219.69+523942.3,15218
228,CFHTLS-VAR-J221340.80-180521.5,15265
229,CFHTLS-VAR-J141744.48+523245.8,15306
230,CFHTLS-VAR-J022630.88-042122.7,15377
231,CFHTLS-VAR-J142151.66+522334.9,15422
232,CFHTLS-VAR-J022504.74-042222.5,15449
233,CFHTLS-VAR-J141801.36+523941.1,15565
234,CFHTLS-VAR-J141618.38+524103.7,15581
235,CFHTLS-VAR-J221527.94-180359.8,15615
236,CFHTLS-VAR-J142139.95+521237.8,15698
237,CFHTLS-VAR-J221520.17-173953.0,15741
238,CFHTLS-VAR-J142053.72+521201.8,15773
239,CFHTLS-VAR-J100104.31+015658.8,15876
240,CFHTLS-VAR-J142222.00+525554.5,16011
241,CFHTLS-VAR-J141646.83+525110.0,16111
242,CFHTLS-VAR-J221657.42-172231.2,16137
243,CFHTLS-VAR-J100224.48+014334.9,16176
244,CFHTLS-VAR-J022528.23-040943.8,16196
245,CFHTLS-VAR-J022524.66-040208.2,16229
246,CFHTLS-VAR-J141643.20+524135.6,16272
247,CFHTLS-VAR-J141715.34+521244.2,16288
248,CFHTLS-VAR-J221735.44-174639.3,16318
249,CFHTLS-VAR-J141836.69+525005.7,16461
250,CFHTLS-VAR-J221413.95-175647.5,16492
251,CFHTLS-VAR-J022644.04-045715.3,16665
252,CFHTLS-VAR-J221732.18-174638.5,16667
253,CFHTLS-VAR-J221647.94-173938.0,16744
